text,intent
What are the programme requirements?,courses
What are the study options available?,courses
What are the study options?,courses
What are trending programmes?,courses
What can I study here?,courses
What course should I take?,courses
What courses are advanced level?,courses
What courses are available for new students?,courses
What courses are available internationally?,courses
What courses are available online?,courses
What courses are available this semester?,courses
What courses are best for future jobs?,courses
What courses are easy to start?,courses
What courses are flexible?,courses
What courses are offered this year?,courses
What courses are offered?,courses
What courses are open for admission?,courses
What courses are suitable for beginners?,courses
What courses are suitable for my interest?,courses
What courses are trending now?,courses
What courses can I choose from?,courses
What courses can I enroll in?,courses
What courses can I finish quickly?,courses
What courses can I take?,courses
What courses can help my career?,courses
What courses fit my interests?,courses
What courses have good career prospects?,courses
What courses require prior knowledge?,courses
What degree programmes are available?,courses
What degrees are available?,courses
What diploma courses are available?,courses
What fields of study are available?,courses
What happens if I change programmes?,courses
What information is available about courses?,courses
What is the process to change courses?,courses
What options do I have for study?,courses
What programmes are currently available?,courses
What programmes are offered here?,courses
What programmes are open for enrollment?,courses
What programmes are popular among students?,courses
What programmes are suitable for working students?,courses
What programmes can I apply for?,courses
What programmes can I choose?,courses
What programmes can I join this semester?,courses
What programmes do you have?,courses
What qualifications are needed for courses?,courses
What science courses do you offer?,courses
What subjects are available this year?,courses
What subjects are included in courses?,courses
What subjects are included in your programmes?,courses
What subjects can I enroll in?,courses
What technology courses do you offer?,courses
Where can I find programme information?,courses
Where can I view course descriptions?,courses
Where is the course list available?,courses
Which course is best for me?,courses
Which courses are in high demand?,courses
Which courses are recommended?,courses
Which programmes can I study?,courses
,
Are installment payments available?,fees
Are there extra charges?,fees
Can I check my fees online?,fees
Can I check my tuition fees online?,fees
Can I delay my fee payment?,fees
Can I download my receipt?,fees
Can I get a fee summary?,fees
Can I get a payment receipt?,fees
Can I negotiate payment terms?,fees
Can I pay fees anytime?,fees
Can I pay fees at the office?,fees
Can I pay fees before enrollment?,fees
Can I pay fees before the deadline?,fees
Can I pay fees from overseas?,fees
Can I pay fees in advance?,fees
Can I pay fees in cash?,fees
Can I pay fees in installments?,fees
Can I pay fees monthly?,fees
Can I pay fees through apps?,fees
Can I pay fees through online banking?,fees
Can I pay fees using ATM?,fees
Can I pay fees using credit card?,fees
Can I pay fees using my bank account?,fees
Can I pay fees using my phone?,fees
Can I pay fees using online transfer?,fees
Can I pay my fees online?,fees
Can I pay through mobile banking?,fees
Can I pay using bank transfer?,fees
Can I request fee extension?,fees
Can I see my payment history?,fees
Can I use e-wallet to pay fees?,fees
Can I use foreign currency to pay?,fees
Can I use international bank transfer?,fees
Can I use online banking to pay?,fees
Can new students pay fees online?,fees
Can you guide me on fee payment?,fees
Can you help me with fee payment?,fees
How can I avoid late fees?,fees
How can I make payment quickly?,fees
How can I pay my outstanding fees?,fees
How can I settle my fees?,fees
How can I view my outstanding fees?,fees
How do I access my fee records?,fees
How do I access the payment system?,fees
How do I avoid penalty charges?,fees
How do I calculate my fees?,fees
How do I check additional fees?,fees
How do I check fee status online?,fees
How do I check if my fees are paid?,fees
How do I check if my payment is successful?,fees
How do I check my fee balance?,fees
How do I check payment status?,fees
How do I complete first payment?,fees
How do I complete payment online?,fees
How do I confirm my payment?,fees
How do I confirm my tuition payment?,fees
How do I convert currency for payment?,fees
How do I ensure my payment is recorded?,fees
How do I find my fee breakdown?,fees
How do I handle initial fees?,fees
How do I know how much to pay?,fees
How do I know if I paid successfully?,fees
How do I know my fee amount?,fees
How do I make a payment online?,fees
How do I manage my fee payment?,fees
How do I manage my tuition payments?,fees
How do I pay fees after admission?,fees
How do I pay fees as a new student?,fees
How do I pay fees from another country?,fees
How do I pay fees online?,fees
How do I pay fees without errors?,fees
How do I pay my fees securely?,fees
How do I pay my fees step by step?,fees
How do I pay my fees?,fees
How do I pay my tuition online?,fees
How do I pay tuition fees?,fees
How do I pay using bank transfer?,fees
How do I request installment?,fees
How do I request payment extension?,fees
How do I settle overdue fees?,fees
How do I track my payment?,fees
How do I use the payment system?,fees
How do I verify my payment?,fees
How do I view my fee details?,fees
How do international students check fees?,fees
How do international students pay fees?,fees
How much are the course fees?,fees
How much do I need to pay?,fees
How much do I owe?,fees
How much is the tuition fee?,fees
How much should I pay this semester?,fees
I need help with tuition fees,fees
I need to know my tuition fees,fees
I want to check my fee balance,fees
I want to check my fees,fees
I want to know the payment deadline,fees
I want to pay my fees,fees
Is online payment available globally?,fees
Is online payment available?,fees
Is online payment safe?,fees
Is payment available 24/7?,fees
Is there a breakdown of fees?,fees
Is there a fee payment portal?,fees
Is there a fee payment schedule?,fees
Is there a grace period for payment?,fees
Is there a guide for fee payment?,fees
Is there a late fee charge?,fees
Is there a late payment penalty?,fees
Is there a payment counter?,fees
Is there a penalty for late payment?,fees
Is there a portal for fee payment?,fees
Is there a system to check my fees?,fees
Is there a way to track my payments?,fees
Is there any additional charge?,fees
Is there any discount on fees?,fees
Is there confirmation after payment?,fees
Is there extra charge for international payment?,fees
Please tell me how to pay fees,fees
Please tell me the fee amount,fees
What are my payment options available?,fees
What are the accepted payment methods?,fees
What are the payment options?,fees
What are the tuition fees?,fees
What do I need to pay fees?,fees
What happens after I complete payment?,fees
What happens after I pay fees?,fees
What happens if I don't pay on time?,fees
What happens if I pay late?,fees
What if I miss the payment deadline?,fees
What is included in tuition fees?,fees
What is my current fee balance?,fees
What is my total tuition cost?,fees
What is the cost of tuition?,fees
What is the deadline for payment?,fees
What is the due date for fees?,fees
What is the easiest way to pay fees?,fees
What is the first payment step?,fees
What is the payment method for new students?,fees
What is the payment process?,fees
What is the safest way to pay fees?,fees
What is the total fee amount?,fees
What payment methods are accepted?,fees
What payment options are available for international students?,fees
What should I do after payment?,fees
When is the payment deadline?,fees
When should I pay my fees?,fees
Where can I check my remaining balance?,fees
Where can I find payment instructions?,fees
Where can I get my fee receipt?,fees
Where can I get payment details?,fees
Where can I log in to pay fees?,fees
Where can I pay my tuition fees?,fees
Where can I see my fee statement?,fees
Where can I see my payment history?,fees
Where can I view my tuition balance?,fees
Where do I check payment details?,fees
Where do I confirm payment?,fees
Where do I make fee payment?,fees
Where do I pay my tuition?,fees
Where do new students pay fees?,fees
,
"Alright, I am done, goodbye",goodbye
"Alright, I am leaving now",goodbye
"Alright, bye",goodbye
"Alright, catch you later",goodbye
"Alright, see you later",goodbye
Bye,goodbye
Bye assistant,goodbye
Bye bot,goodbye
Bye bye,goodbye
Bye chatbot,goodbye
Bye for now,goodbye
Bye for today,goodbye
Bye for tonight,goodbye
Bye until later,goodbye
"Bye, all the best",goodbye
"Bye, chat soon",goodbye
"Bye, enjoy your day",goodbye
"Bye, have a good day",goodbye
"Bye, have a great evening",goodbye
"Bye, have a nice day",goodbye
"Bye, see you later",goodbye
"Bye, see you soon",goodbye
"Bye, stay safe",goodbye
"Bye, take care",goodbye
"Bye, take care of yourself",goodbye
"Bye, talk soon",goodbye
"Bye, thanks again",goodbye
"Bye, that is all for now",goodbye
Catch you later,goodbye
Catch you later bot,goodbye
Catch you later today,goodbye
"Catch you later, talk soon",goodbye
Catch you soon,goodbye
"Everything is clear now, goodbye",goodbye
Farewell,goodbye
"Farewell, catch you later",goodbye
"Farewell, goodbye for now",goodbye
"Farewell, have a great day",goodbye
"Farewell, have a nice day",goodbye
"Farewell, see you later",goodbye
"Farewell, see you soon",goodbye
"Farewell, take care",goodbye
"Farewell, talk soon",goodbye
"Farewell, until next time",goodbye
"Good evening, goodbye",goodbye
Good night,goodbye
Goodbye,goodbye
Goodbye assistant,goodbye
Goodbye bot,goodbye
Goodbye chatbot,goodbye
Goodbye for now,goodbye
Goodbye for today,goodbye
Goodbye for tonight,goodbye
Goodbye until later,goodbye
"Goodbye, chat soon",goodbye
"Goodbye, enjoy your day",goodbye
"Goodbye, have a good day",goodbye
"Goodbye, have a great evening",goodbye
"Goodbye, have a nice day",goodbye
"Goodbye, see you later",goodbye
"Goodbye, see you soon",goodbye
"Goodbye, stay safe",goodbye
"Goodbye, take care",goodbye
"Goodbye, talk soon",goodbye
"Goodbye, thanks again",goodbye
"Goodbye, that is all for now",goodbye
Have a good night,goodbye
Have a nice evening,goodbye
I am done chatting,goodbye
I am done for now,goodbye
"I am done here, goodbye",goodbye
"I am done, goodbye",goodbye
I am ending the chat,goodbye
"I am finished, goodbye",goodbye
I am leaving now,goodbye
I am signing off,goodbye
I have to go now,goodbye
I need to leave now,goodbye
I will be back later,goodbye
I will chat again later,goodbye
I will chat again later,goodbye
I will come back later,goodbye
I will come back soon,goodbye
I will go now,goodbye
I will log out now,goodbye
I will message later,goodbye
I will reconnect later,goodbye
I will return soon,goodbye
I will stop here,goodbye
I will talk again later,goodbye
I will talk to you again,goodbye
I will visit again later,goodbye
"Okay, I will go now",goodbye
"Okay, ending chat, goodbye",goodbye
"Okay, goodbye",goodbye
"Okay, see you next time",goodbye
"Okay, talk to you later",goodbye
See you,goodbye
See you again today,goodbye
See you around,goodbye
See you chatbot,goodbye
See you in the morning,goodbye
See you later,goodbye
See you later on,goodbye
See you later today,goodbye
"See you later today, goodbye",goodbye
See you later tonight,goodbye
"See you later, enjoy your day",goodbye
"See you later, goodbye",goodbye
"See you later, take care",goodbye
"See you later, talk soon",goodbye
See you next time,goodbye
See you next time again,goodbye
See you next time chatbot,goodbye
"See you next time, talk soon",goodbye
See you soon,goodbye
"See you soon, take care",goodbye
See you tomorrow,goodbye
"See you, have a great day",goodbye
"See you, have a nice evening",goodbye
"See you, stay safe",goodbye
"See you, talk soon",goodbye
"See you, thanks",goodbye
"See you, that is enough for now",goodbye
Talk again later today,goodbye
Talk soon,goodbye
Talk to you later,goodbye
Talk to you later chatbot,goodbye
Talk to you later today,goodbye
Talk to you tomorrow,goodbye
"Thank you, bye",goodbye
"Thank you, bye",goodbye
"Thank you, bye for now",goodbye
"Thank you, catch you later",goodbye
"Thank you, catch you later",goodbye
"Thank you, goodbye",goodbye
"Thank you, goodbye for now",goodbye
"Thank you, see you later",goodbye
"Thank you, see you later",goodbye
"Thank you, talk soon",goodbye
"Thanks, I will go now",goodbye
"Thanks, bye",goodbye
"Thanks, bye",goodbye
"Thanks, bye for now",goodbye
"Thanks, catch you later",goodbye
"Thanks, goodbye",goodbye
"Thanks, goodbye",goodbye
"Thanks, goodbye",goodbye
"Thanks, see you",goodbye
"Thanks, see you later",goodbye
"Thanks, see you next time",goodbye
"Thanks, see you next time",goodbye
"Thanks, see you soon",goodbye
"Thanks, see you soon",goodbye
"Thanks, talk to you later",goodbye
"Thanks, talk to you later",goodbye
"Thanks, talk to you later",goodbye
"That is all I needed, goodbye",goodbye
"That is all, goodbye",goodbye
"That is it, bye",goodbye
,
Good afternoon,greeting
Good afternoon again,greeting
"Good afternoon, I have a question",greeting
Good day,greeting
Good evening,greeting
Good evening again,greeting
"Good evening, can you assist me?",greeting
Good morning,greeting
Good morning again,greeting
"Good morning, I need help",greeting
Good to see you,greeting
Greetings,greeting
Hello,greeting
Hello AI,greeting
Hello again,greeting
Hello assistant,greeting
Hello bot,greeting
"Hello chatbot, how are you?",greeting
Hello everyone,greeting
Hello system,greeting
Hello there,greeting
Hello there again,greeting
"Hello, I am back",greeting
"Hello, I am here again",greeting
"Hello, I have a question",greeting
"Hello, I have something to ask",greeting
"Hello, I just entered",greeting
"Hello, I just joined",greeting
"Hello, I just need some help",greeting
"Hello, I need assistance",greeting
"Hello, I need information",greeting
"Hello, I need some help",greeting
"Hello, I want to ask something",greeting
"Hello, I would like some help",greeting
"Hello, I would like some information",greeting
"Hello, I'm here",greeting
"Hello, are you available?",greeting
"Hello, are you ready?",greeting
"Hello, can we talk?",greeting
"Hello, can you assist me?",greeting
"Hello, can you help me with something?",greeting
"Hello, can you support me?",greeting
"Hello, everything okay?",greeting
"Hello, friendly greetings",greeting
"Hello, glad to see you",greeting
"Hello, good afternoon to you",greeting
"Hello, good to see you",greeting
"Hello, greetings",greeting
"Hello, have a nice day",greeting
"Hello, hope you're doing well",greeting
"Hello, how are you?",greeting
"Hello, how is everything?",greeting
"Hello, how's your day going?",greeting
"Hello, it's me again",greeting
"Hello, long time no see",greeting
"Hello, nice to meet you",greeting
"Hello, nice to see you",greeting
"Hello, polite greetings",greeting
"Hello, warm greetings",greeting
"Hello, what's going on?",greeting
"Hello, wishing you a nice day",greeting
Hey,greeting
Hey AI,greeting
Hey again,greeting
Hey assistant,greeting
Hey bot,greeting
Hey chatbot,greeting
Hey everyone,greeting
Hey system,greeting
Hey there,greeting
Hey there again,greeting
Hey there chatbot,greeting
"Hey, I am back",greeting
"Hey, I have a question",greeting
"Hey, I have a question for you",greeting
"Hey, I just arrived",greeting
"Hey, I just joined",greeting
"Hey, I need assistance",greeting
"Hey, I need guidance",greeting
"Hey, I need some assistance",greeting
"Hey, I want some information",greeting
"Hey, I would like some help",greeting
"Hey, I would like to ask something",greeting
"Hey, I'm here",greeting
"Hey, all good?",greeting
"Hey, are you free?",greeting
"Hey, are you online?",greeting
"Hey, can I chat with you?",greeting
"Hey, can I get some information?",greeting
"Hey, can you assist me today?",greeting
"Hey, can you help me?",greeting
"Hey, friendly greetings",greeting
"Hey, glad to see you",greeting
"Hey, good evening to you",greeting
"Hey, greetings",greeting
"Hey, have a great day",greeting
"Hey, hope you're doing well",greeting
"Hey, how are things?",greeting
"Hey, how are you?",greeting
"Hey, how is your day?",greeting
"Hey, it's me again",greeting
"Hey, long time no see",greeting
"Hey, nice to meet you",greeting
"Hey, nice to see you",greeting
"Hey, warm greetings",greeting
"Hey, what's new?",greeting
"Hey, wishing you a great day",greeting
Hi,greeting
Hi AI,greeting
Hi again,greeting
Hi assistant,greeting
"Hi bot, how are you?",greeting
Hi chatbot,greeting
Hi chatbot again,greeting
Hi everyone,greeting
Hi system,greeting
Hi there,greeting
Hi there again,greeting
"Hi there, how can you help me?",greeting
"Hi, I am back",greeting
"Hi, I am here again",greeting
"Hi, I am looking for help",greeting
"Hi, I have a quick question",greeting
"Hi, I just came in",greeting
"Hi, I just logged in",greeting
"Hi, I need assistance",greeting
"Hi, I need guidance",greeting
"Hi, I need help",greeting
"Hi, I need some information",greeting
"Hi, I need your help",greeting
"Hi, I want to ask something",greeting
"Hi, I'm here",greeting
"Hi, are you active?",greeting
"Hi, are you there?",greeting
"Hi, can I ask something?",greeting
"Hi, can I talk to you?",greeting
"Hi, can we chat?",greeting
"Hi, can you answer my question?",greeting
"Hi, can you guide me?",greeting
"Hi, can you help me?",greeting
"Hi, can you respond?",greeting
"Hi, everything good?",greeting
"Hi, friendly greetings",greeting
"Hi, glad to see you",greeting
"Hi, good morning to you",greeting
"Hi, good to see you",greeting
"Hi, greetings",greeting
"Hi, have a good day",greeting
"Hi, hope you're doing well",greeting
"Hi, how are you?",greeting
"Hi, how is it going?",greeting
"Hi, how's your day?",greeting
"Hi, it's me again",greeting
"Hi, long time no see",greeting
"Hi, nice to meet you",greeting
"Hi, nice to see you",greeting
"Hi, polite greetings",greeting
"Hi, warm greetings",greeting
"Hi, what's up?",greeting
"Hi, wishing you a good day",greeting
,
I am very grateful,thanks
I appreciate it,thanks
I appreciate the quick response,thanks
I appreciate your assistance,thanks
I appreciate your help today,thanks
I appreciate your response,thanks
I really appreciate your assistance,thanks
I really appreciate your help,thanks
I truly appreciate it,thanks
Many thanks,thanks
Much appreciated,thanks
Thank you,thanks
Thank you AI,thanks
Thank you again,thanks
Thank you again for the information,thanks
Thank you again for your help,thanks
Thank you again for your support,thanks
Thank you assistant,thanks
Thank you bot,thanks
Thank you chatbot,thanks
Thank you for assisting me,thanks
Thank you for assisting me today,thanks
Thank you for clarifying,thanks
Thank you for clearing that up,thanks
Thank you for explaining,thanks
Thank you for getting back to me,thanks
Thank you for giving me details,thanks
Thank you for making it clear,thanks
Thank you for replying quickly,thanks
Thank you for responding,thanks
Thank you for sharing the information,thanks
Thank you for solving my issue,thanks
Thank you for solving my problem,thanks
Thank you for taking the time,thanks
Thank you for the answer,thanks
Thank you for the clear answer,thanks
Thank you for the detailed explanation,thanks
Thank you for the explanation,thanks
Thank you for the guidance,thanks
Thank you for the information provided,thanks
Thank you for the quick help,thanks
Thank you for the quick support,thanks
Thank you for the support,thanks
Thank you for your assistance today,thanks
Thank you for your effort,thanks
Thank you for your help,thanks
Thank you for your help today,thanks
Thank you for your support today,thanks
Thank you for your support today,thanks
Thank you for your time,thanks
Thank you kindly,thanks
Thank you once again,thanks
Thank you so much for your help,thanks
Thank you system,thanks
Thank you very kindly,thanks
Thank you very much,thanks
Thank you very much for your assistance,thanks
"Thank you, I am satisfied",thanks
"Thank you, I appreciate it",thanks
"Thank you, I learned something new",thanks
"Thank you, I understand now",thanks
"Thank you, appreciate your help",thanks
"Thank you, appreciate your support",thanks
"Thank you, bye",thanks
"Thank you, everything is clear now",thanks
"Thank you, have a great day",thanks
"Thank you, have a nice day",thanks
"Thank you, much appreciated",thanks
"Thank you, problem solved",thanks
"Thank you, really appreciate it",thanks
